input,response
feeling strange,Thank you for sharing. Feeling strange is difficult. Tell me more about what's happening.
feeling different,Thank you for sharing. Feeling different is difficult. Tell me more about what's happening.
feeling wrong,Thank you for sharing. Feeling wrong is difficult. Tell me more about what's happening.
feeling bad,Thank you for sharing. Feeling bad is difficult. Tell me more about what's happening.
feeling awful,Thank you for sharing. Feeling awful is difficult. Tell me more about what's happening.
feeling terrible,Thank you for sharing. Feeling terrible is difficult. Tell me more about what's happening.
feeling horrible,Thank you for sharing. Feeling horrible is difficult. Tell me more about what's happening.
i need help with anxiety,I'm here to support you with anxiety. What specifically would be most helpful?
i need help with depression,I'm here to support you with depression. What specifically would be most helpful?
i need help with stress,I'm here to support you with stress. What specifically would be most helpful?
i need help with sleep,I'm here to support you with sleep. What specifically would be most helpful?
i need help with worry,I'm here to support you with worry. What specifically would be most helpful?
i need help with fear,I'm here to support you with fear. What specifically would be most helpful?
i need help with sadness,I'm here to support you with sadness. What specifically would be most helpful?
i need help with anger,I'm here to support you with anger. What specifically would be most helpful?
i need help with grief,I'm here to support you with grief. What specifically would be most helpful?
i need help with trauma,I'm here to support you with trauma. What specifically would be most helpful?
i have panic attacks,Thank you for sharing about panic attacks. How long have you been experiencing this?
i have nightmares,Thank you for sharing about nightmares. How long have you been experiencing this?
i have flashbacks,Thank you for sharing about flashbacks. How long have you been experiencing this?
i have insomnia,Thank you for sharing about insomnia. How long have you been experiencing this?
i have headaches,Thank you for sharing about headaches. How long have you been experiencing this?
i have fatigue,Thank you for sharing about fatigue. How long have you been experiencing this?
i have low energy,Thank you for sharing about low energy. How long have you been experiencing this?
i have poor concentration,Thank you for sharing about poor concentration. How long have you been experiencing this?
i have memory problems,Thank you for sharing about memory problems. How long have you been experiencing this?
i have mood swings,Thank you for sharing about mood swings. How long have you been experiencing this?
struggling at work,Work struggles affect wellbeing. What's the main challenge at work?
school is overwhelming,Academic overwhelm is real. What specific aspect is most overwhelming?
cant focus on studies,Concentration problems interfere with academics. Addressing mental health often helps focus.
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
